Date,Adj Close,Close,High,Low,Open,Volume,Returns,Log_Returns
2021-07-16,15923.400390625,15923.400390625,15962.25,15882.599609375,15958.349609375,276300,-5.0225736783704455e-05,-5.022699813825734e-05
2021-07-19,15752.400390625,15752.400390625,15836.900390625,15707.5,15754.5,242100,-0.010738912280361723,-0.010796990571541962
2021-07-20,15632.099609375,15632.099609375,15728.4501953125,15578.5498046875,15703.9501953125,274300,-0.0076369809214345,-0.007666291987629491
2021-07-22,15824.0498046875,15824.0498046875,15834.7998046875,15726.400390625,15736.599609375,265300,0.012279233123449584,0.012204454864528006
2021-07-23,15856.0498046875,15856.0498046875,15899.7998046875,15768.400390625,15856.7998046875,294100,0.002022238326785386,0.0020201963552988087
2021-07-26,15824.4501953125,15824.4501953125,15893.349609375,15797.0,15849.2998046875,267100,-0.0019929055322251976,-0.001994894010794567
2021-07-27,15746.4501953125,15746.4501953125,15881.5498046875,15701.0,15860.5,311000,-0.004929081202650898,-0.004941269190283573
2021-07-28,15709.400390625,15709.400390625,15767.5,15513.4501953125,15761.5498046875,318600,-0.002352898858342667,-0.0023556712745251398
2021-07-29,15778.4501953125,15778.4501953125,15817.349609375,15737.7998046875,15762.7001953125,401600,0.004395444954646832,0.0043858132000563635
2021-07-30,15763.0498046875,15763.0498046875,15862.7998046875,15744.849609375,15800.599609375,400000,-0.000976039499086867,-0.000976516135808173
2021-08-02,15885.150390625,15885.150390625,15892.900390625,15834.650390625,15874.900390625,244800,0.007746000136419795,0.007716153904229494
2021-08-03,16130.75,16130.75,16146.900390625,15914.349609375,15951.5498046875,341300,0.015460955882416139,0.015342653128218075
2021-08-04,16258.7998046875,16258.7998046875,16290.2001953125,16176.150390625,16195.25,427300,0.007938242467802281,0.007906900379200192
2021-08-05,16294.599609375,16294.599609375,16349.4501953125,16210.2998046875,16288.9501953125,418200,0.0022018725316477195,0.002199451962862978
2021-08-06,16238.2001953125,16238.2001953125,16336.75,16223.2998046875,16304.400390625,320100,-0.003461233501561467,-0.0034672374282357825
2021-08-09,16258.25,16258.25,16320.75,16179.0498046875,16281.349609375,240500,0.0012347307242392969,0.0012339690711517842
2021-08-10,16280.099609375,16280.099609375,16359.25,16202.25,16274.7998046875,288000,0.0013439090538649445,0.0013430068163520583
2021-08-11,16282.25,16282.25,16338.75,16162.5498046875,16327.2998046875,277900,0.00013208706805212245,0.00013207834532344713
2021-08-12,16364.400390625,16364.400390625,16375.5,16286.900390625,16303.650390625,280200,0.005045395484346349,0.005032710127087298
2021-08-13,16529.099609375,16529.099609375,16543.599609375,16376.2998046875,16385.69921875,321900,0.010064482340847336,0.010014172717061967
2021-08-16,16563.05078125,16563.05078125,16589.400390625,16480.75,16518.400390625,254000,0.002054024277023725,0.0020519176533692787
2021-08-17,16614.599609375,16614.599609375,16628.55078125,16495.400390625,16545.25,297400,0.0031122785775283823,0.0031074454639570138
2021-08-18,16568.849609375,16568.849609375,16701.849609375,16535.849609375,16691.94921875,251800,-0.00275360231817956,-0.002757400455017452
2021-08-20,16450.5,16450.5,16509.55078125,16376.0498046875,16382.5,350800,-0.007142898400624986,-0.007168531033199722
2021-08-23,16496.44921875,16496.44921875,16592.5,16395.69921875,16592.25,275600,0.0027931806783987323,0.002789286998064274
2021-08-24,16624.599609375,16624.599609375,16647.099609375,16495.30078125,16561.400390625,275400,0.007768362083601765,0.007738343720985011
2021-08-25,16634.650390625,16634.650390625,16712.44921875,16617.5,16654.0,265900,0.0006045728309951315,0.0006043901504665573
2021-08-26,16636.900390625,16636.900390625,16683.69921875,16603.400390625,16627.94921875,253500,0.00013525983096518424,0.00013525068417903375
2021-08-27,16705.19921875,16705.19921875,16722.05078125,16565.599609375,16642.55078125,217400,0.004105261588480014,0.004096857993577663
2021-08-30,16931.05078125,16931.05078125,16951.5,16764.849609375,16775.849609375,283500,0.013519836521704187,0.013429259014094868
2021-08-31,17132.19921875,17132.19921875,17153.5,16915.849609375,16947.5,464400,0.011880446175423387,0.011810427696351353
2021-09-01,17076.25,17076.25,17225.75,17055.05078125,17185.599609375,301900,-0.00326573477436376,-0.0032710789243950112
2021-09-02,17234.150390625,17234.150390625,17245.5,17059.69921875,17095.400390625,242400,0.009246783727399066,0.009204293951085803
2021-09-03,17323.599609375,17323.599609375,17340.099609375,17212.19921875,17262.44921875,261400,0.005190230833697296,0.005176808010644206
2021-09-06,17377.80078125,17377.80078125,17429.55078125,17345.55078125,17399.349609375,228000,0.0031287476677577253,0.003123863322045117
2021-09-07,17362.099609375,17362.099609375,17436.5,17287.0,17401.55078125,243400,-0.0009035189246697772,-0.0009039273439216094
2021-09-08,17353.5,17353.5,17383.400390625,17254.19921875,17375.75,252700,-0.0004953092983268625,-0.0004954320044973781
2021-09-09,17369.25,17369.25,17379.650390625,17302.69921875,17312.849609375,241500,0.0009075978909154347,0.0009071862729865194
2021-09-13,17355.30078125,17355.30078125,17378.349609375,17269.150390625,17363.55078125,241100,-0.000803098507419775,-0.0008034211637875494
2021-09-14,17380.0,17380.0,17438.55078125,17367.05078125,17420.349609375,230400,0.001423151293159064,0.0014221395731308123
2021-09-15,17519.44921875,17519.44921875,17532.69921875,17386.900390625,17387.650390625,388200,0.00802354538262362,0.007991527890878581
2021-09-16,17629.5,17629.5,17644.599609375,17510.44921875,17539.19921875,503300,0.006281634763507293,0.006261987530756848
2021-09-17,17585.150390625,17585.150390625,17792.94921875,17537.650390625,17709.650390625,508300,-0.002515647600612625,-0.002518817158814708
2021-09-20,17396.900390625,17396.900390625,17622.75,17361.80078125,17443.849609375,339100,-0.010705054879733056,-0.01076276621795277
2021-09-21,17562.0,17562.0,17578.349609375,17326.099609375,17450.5,363600,0.00949017386246398,0.009445425055689747
2021-09-22,17546.650390625,17546.650390625,17610.44921875,17524.0,17580.900390625,295200,-0.0008740239935656202,-0.0008744061752431491
2021-09-23,17822.94921875,17822.94921875,17843.900390625,17646.55078125,17670.849609375,320500,0.015746528367181822,0.01562383807742847
2021-09-24,17853.19921875,17853.19921875,17947.650390625,17819.400390625,17897.44921875,360100,0.0016972499684944076,0.0016958112674268218
2021-09-27,17855.099609375,17855.099609375,17943.5,17802.900390625,17932.19921875,295700,0.00010644538279747096,0.00010643971788971012
2021-09-28,17748.599609375,17748.599609375,17912.849609375,17576.099609375,17906.44921875,398000,-0.0059646824901542495,-0.005982542262753364
2021-09-29,17711.30078125,17711.30078125,17781.75,17608.150390625,17657.94921875,562200,-0.0021015082285871234,-0.002103719495544819
2021-09-30,17618.150390625,17618.150390625,17742.150390625,17585.349609375,17718.900390625,378600,-0.005259376020738893,-0.005273255224157625
2021-10-01,17532.05078125,17532.05078125,17557.150390625,17452.900390625,17531.900390625,305800,-0.004886983449795879,-0.004898963801205104
2021-10-04,17691.25,17691.25,17750.900390625,17581.349609375,17615.55078125,295800,0.009080467581137563,0.009039488024266832
2021-10-05,17822.30078125,17822.30078125,17833.44921875,17640.900390625,17661.349609375,427000,0.007407660919946268,0.007380358946066971
2021-10-06,17646.0,17646.0,17884.599609375,17613.150390625,17861.5,395800,-0.009892144870289554,-0.009941397212065623
2021-10-07,17790.349609375,17790.349609375,17857.55078125,17763.80078125,17810.55078125,419900,0.008180302016037588,0.00814702470131476
2021-10-08,17895.19921875,17895.19921875,17941.849609375,17840.349609375,17886.849609375,324100,0.005893622760496431,0.005876323303578524
2021-10-11,17945.94921875,17945.94921875,18041.94921875,17839.099609375,17867.55078125,375800,0.0028359561343596074,0.0028319423974920437
2021-10-12,17991.94921875,17991.94921875,18008.650390625,17864.94921875,17915.80078125,355600,0.0025632525445875576,0.002559973015762186
2021-10-13,18161.75,18161.75,18197.80078125,18050.75,18097.849609375,506700,0.00943759784921161,0.00939334195098345
2021-10-14,18338.55078125,18338.55078125,18350.75,18248.69921875,18272.849609375,538700,0.009734787740718787,0.009687709975996201
2021-10-18,18477.05078125,18477.05078125,18543.150390625,18445.30078125,18500.099609375,469900,0.007552396132719963,0.007524019573498294
2021-10-19,18418.75,18418.75,18604.44921875,18377.69921875,18602.349609375,368200,-0.003155307734996393,-0.0031602962146704853
2021-10-20,18266.599609375,18266.599609375,18458.30078125,18209.349609375,18439.900390625,371300,-0.008260625212080042,-0.008294933244362599
2021-10-21,18178.099609375,18178.099609375,18384.19921875,18048.0,18382.69921875,365900,-0.004844908296702255,-0.004856682911584848
2021-10-22,18114.900390625,18114.900390625,18314.25,18034.349609375,18230.69921875,324700,-0.003476668084567369,-0.0034827257394313984
2021-10-25,18125.400390625,18125.400390625,18241.400390625,17968.5,18229.5,418700,0.000579633328010587,0.0005794654054989729
2021-10-26,18268.400390625,18268.400390625,18310.44921875,18099.30078125,18154.5,341400,0.007889480889700096,0.00785852166355233
2021-10-27,18210.94921875,18210.94921875,18342.05078125,18167.900390625,18295.849609375,335200,-0.0031448386638428527,-0.0031497940609639214
2021-10-28,17857.25,17857.25,18190.69921875,17799.44921875,18187.650390625,374200,-0.0194223384240636,-0.019613430387588483
2021-10-29,17671.650390625,17671.650390625,17915.849609375,17613.099609375,17833.05078125,336500,-0.010393515763905459,-0.010447905544470225
2021-11-01,17929.650390625,17929.650390625,17954.099609375,17697.099609375,17783.150390625,281200,0.014599655057507821,0.014494106171593095
2021-11-02,17888.94921875,17888.94921875,18012.25,17847.599609375,17970.900390625,296400,-0.002270048271341696,-0.002272628736845954
2021-11-03,17829.19921875,17829.19921875,17988.75,17757.94921875,17947.94921875,331000,-0.0033400508475575075,-0.003345641269055336
2021-11-04,17916.80078125,17916.80078125,17947.55078125,17900.599609375,17935.05078125,48500,0.004913376165984751,0.0049013449265533065
2021-11-08,18068.55078125,18068.55078125,18087.80078125,17836.099609375,18040.19921875,338900,0.008469704042186388,0.008434037348294714
2021-11-09,18044.25,18044.25,18112.599609375,17983.05078125,18084.349609375,270200,-0.001344921435271762,-0.0013458266538282125
2021-11-10,18017.19921875,18017.19921875,18061.25,17915.0,17973.44921875,261400,-0.0014991358050348014,-0.0015002606334366785
2021-11-11,17873.599609375,17873.599609375,17971.349609375,17798.19921875,17967.44921875,232100,-0.007970140510272006,-0.00800207185820445
2021-11-12,18102.75,18102.75,18123.0,17905.900390625,17977.599609375,249100,0.012820606684330382,0.012739118453093435
2021-11-15,18109.44921875,18109.44921875,18210.150390625,18071.30078125,18140.94921875,280400,0.0003700663573213969,0.00036999789965571825
2021-11-16,17999.19921875,17999.19921875,18132.650390625,17958.80078125,18127.05078125,267400,-0.006087981951756416,-0.006106589273008452
2021-11-17,17898.650390625,17898.650390625,18022.650390625,17879.25,17939.349609375,295700,-0.005586294529162039,-0.005601956226916921
2021-11-18,17764.80078125,17764.80078125,17945.599609375,17688.5,17890.55078125,278400,-0.007478195643460861,-0.007506297537132803
2021-11-22,17416.55078125,17416.55078125,17805.25,17280.44921875,17796.25,356400,-0.019603372100156835,-0.01979806684873854
2021-11-23,17503.349609375,17503.349609375,17553.69921875,17216.099609375,17281.75,308800,0.004983697932798847,0.004971320417088634
2021-11-24,17415.05078125,17415.05078125,17600.599609375,17354.0,17550.05078125,298100,-0.0050446817378146935,-0.005057449101021469
2021-11-25,17536.25,17536.25,17564.349609375,17351.69921875,17417.30078125,255900,0.006959452503032093,0.006935347288237329
2021-11-26,17026.44921875,17026.44921875,17355.400390625,16985.69921875,17338.75,356300,-0.029071254187753914,-0.029502195657113865
2021-11-29,17053.94921875,17053.94921875,17160.69921875,16782.400390625,17055.80078125,348900,0.0016151341742889347,0.0016138312478338214
2021-11-30,16983.19921875,16983.19921875,17324.650390625,16931.400390625,17051.150390625,498000,-0.004148599194972014,-0.0041572285072535705
2021-12-01,17166.900390625,17166.900390625,17213.05078125,17064.25,17104.400390625,295500,0.01081664117042136,0.010758559762450211
2021-12-02,17401.650390625,17401.650390625,17420.349609375,17149.30078125,17183.19921875,279900,0.013674571102433752,0.013581917861660867
2021-12-03,17196.69921875,17196.69921875,17489.80078125,17180.80078125,17424.900390625,292500,-0.01177768586739425,-0.011847592241934006
2021-12-06,16912.25,16912.25,17216.75,16891.69921875,17209.05078125,231700,-0.01654091957599968,-0.016679248094838027
2021-12-07,17176.69921875,17176.69921875,17251.650390625,16987.75,17044.099609375,254100,0.015636548581649423,0.015515557382479443
2021-12-08,17469.75,17469.75,17484.599609375,17308.94921875,17315.25,257800,0.017060948527881648,0.016917044993306308
2021-12-09,17516.849609375,17516.849609375,17543.25,17379.599609375,17524.400390625,237200,0.002696066593683266,0.002692438725331353
2021-12-10,17511.30078125,17511.30078125,17534.349609375,17405.25,17476.05078125,204500,-0.00031677089480919296,-0.00031682107730694167
2021-12-13,17368.25,17368.25,17639.5,17355.94921875,17619.099609375,256600,-0.008169055116863166,-0.0082026046847206
2021-12-14,17324.900390625,17324.900390625,17376.19921875,17225.80078125,17283.19921875,271000,-0.002495911181322197,-0.0024990311601760175
2021-12-15,17221.400390625,17221.400390625,17351.19921875,17192.19921875,17323.650390625,215000,-0.005974060321640162,-0.005991976410169169
2021-12-16,17248.400390625,17248.400390625,17379.349609375,17184.94921875,17373.0,219500,0.0015678167505297491,0.0015665890089298405
2021-12-17,16985.19921875,16985.19921875,17298.150390625,16966.44921875,17276.0,354600,-0.01525945397337003,-0.015377077556357827
2021-12-20,16614.19921875,16614.19921875,16840.099609375,16410.19921875,16824.25,330600,-0.021842546279377872,-0.022084626281366433
2021-12-21,16770.849609375,16770.849609375,16936.400390625,16688.25,16773.150390625,241000,0.00942870544420904,0.009384532645495392
2021-12-22,16955.44921875,16955.44921875,16971.0,16819.5,16865.55078125,207900,0.011007170994593363,0.010947032985081793
2021-12-23,17072.599609375,17072.599609375,17118.650390625,17015.55078125,17066.80078125,197000,0.006909306212627531,0.006885546336514033
2021-12-24,17003.75,17003.75,17155.599609375,16909.599609375,17149.5,182600,-0.004032754879180422,-0.0040409083631890875
2021-12-27,17086.25,17086.25,17112.05078125,16833.19921875,16937.75,144800,0.004851870910828504,0.004840138519222991
2021-12-28,17233.25,17233.25,17250.25,17161.150390625,17177.599609375,176000,0.008603409174043453,0.008566610759914585
2021-12-29,17213.599609375,17213.599609375,17285.94921875,17176.650390625,17220.099609375,161700,-0.0011402602889762914,-0.00114091088034896
2021-12-30,17203.94921875,17203.94921875,17264.05078125,17146.349609375,17201.44921875,320800,-0.0005606259494814747,-0.0005607831589689821
2021-12-31,17354.05078125,17354.05078125,17400.80078125,17238.5,17244.5,167000,0.008724831757606522,0.008686990360265219
2022-01-03,17625.69921875,17625.69921875,17646.650390625,17383.30078125,17387.150390625,200500,0.015653315812207858,0.015532066331647875
2022-01-04,17805.25,17805.25,17827.599609375,17593.55078125,17681.400390625,247400,0.01018687423526421,0.01013533773365083
2022-01-05,17925.25,17925.25,17944.69921875,17748.849609375,17820.099609375,251500,0.0067395852346920915,0.006716975758933995
2022-01-06,17745.900390625,17745.900390625,17797.94921875,17655.55078125,17768.5,236500,-0.010005417462796928,-0.01005580805311726
