Date,Adj Close,Close,High,Low,Open,Volume,Returns,Log_Returns
2024-07-16,1622.454833984375,1726.050048828125,1737.9000244140625,1700.0,1718.5999755859375,6886281,0.011130295650522815,0.011068809726883509
2024-07-18,1652.5341796875,1758.050048828125,1765.4000244140625,1719.0,1719.0,11248896,0.01853940403953014,0.018369644242221768
2024-07-19,1685.339599609375,1792.949951171875,1844.0,1786.449951171875,1844.0,29819116,0.019851583298615028,0.019657110139086484
2024-07-22,1702.165283203125,1810.8499755859375,1823.0,1792.949951171875,1800.1500244140625,8462126,0.009983556784430858,0.00993405030918615
2024-07-23,1726.6517333984375,1836.9000244140625,1839.949951171875,1783.25,1810.0,7113056,0.014385471514983594,0.01428298235356727
2024-07-24,1723.878662109375,1833.949951171875,1842.3499755859375,1819.5999755859375,1837.5,6002845,-0.0016060397330992515,-0.0016073307974303062
2024-07-25,1715.3248291015625,1824.8499755859375,1830.9000244140625,1812.0,1820.0,5815599,-0.0049619693055112934,-0.004974320750472563
2024-07-26,1766.1309814453125,1878.9000244140625,1883.0,1825.3499755859375,1825.3499755859375,11369047,0.02961896865351199,0.029188800453219366
2024-07-29,1758.799072265625,1871.0999755859375,1903.0,1864.0,1893.5999755859375,4635931,-0.004151396049735467,-0.004160037017327154
2024-07-30,1764.4859619140625,1877.1500244140625,1879.949951171875,1860.0,1871.0999755859375,2721265,0.0032333935911803557,0.003228177415065093
2024-07-31,1756.1202392578125,1868.25,1885.1500244140625,1865.050048828125,1877.0,5004209,-0.00474116702361016,-0.004752442007821346
2024-08-01,1741.4095458984375,1852.5999755859375,1867.9000244140625,1845.0999755859375,1856.0999755859375,7475014,-0.008376814429057688,-0.008412097114885131
2024-08-02,1711.8939208984375,1821.199951171875,1859.5,1816.1500244140625,1843.0,7400938,-0.01694927254161349,-0.0170945554275006
2024-08-05,1646.7532958984375,1751.9000244140625,1797.5,1718.550048828125,1784.949951171875,10736703,-0.038051788259060415,-0.03879466371465686
2024-08-06,1646.0013427734375,1751.0999755859375,1796.949951171875,1744.8499755859375,1760.199951171875,7690163,-0.00045662767268961346,-0.0004567319588531869
2024-08-07,1684.1175537109375,1791.6500244140625,1797.9000244140625,1762.0999755859375,1796.0,5094329,0.02315685288158753,0.02289280159116555
2024-08-08,1638.528564453125,1743.1500244140625,1779.949951171875,1727.0999755859375,1779.949951171875,6227910,-0.027069956700681352,-0.027443097326114947
